ID,Label,Numero Caramelle Trovate,Falsi Positivi,Falsi Negativi,Totale,Totale Aspettato,Differenza,Differenza totale,Caramelle Aspettate_per_Label
Screenshot_20231107_204514_Candy Crush Saga,Bt,2,0,0,59,59,,0,2
Screenshot_20231107_204514_Candy Crush Saga,Pg,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,GWC,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,O,4,0,0,59,59,,0,4
Screenshot_20231107_204514_Candy Crush Saga,P,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,PC,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,MK,8,0,0,59,59,,0,8
Screenshot_20231107_204514_Candy Crush Saga,MT,20,0,0,59,59,,0,20
Screenshot_20231107_204514_Candy Crush Saga,B,1,0,0,59,59,,0,1
Screenshot_20231107_205337_Candy Crush Saga1,GlT,1,0,0,59,59,,0,1
Screenshot_20231107_205337_Candy Crush Saga1,PlN,1,0,0,59,59,,0,1
Screenshot_20231107_205337_Candy Crush Saga1,Olg,9,0,0,59,59,,0,9
Screenshot_20231107_205337_Candy Crush Saga1,PlT,2,0,0,59,59,,0,2
Screenshot_20231107_205337_Candy Crush Saga1,Gt,3,0,0,59,59,,0,3
Screenshot_20231107_205337_Candy Crush Saga1,GlG,6,0,0,59,59,,0,6
Screenshot_20231107_205337_Candy Crush Saga1,PlG,3,0,0,59,59,,0,3
Screenshot_20231107_205337_Candy Crush Saga1,Gg,2,0,0,59,59,,0,2
Screenshot_20231107_205337_Candy Crush Saga1,Olt,6,0,0,59,59,,0,6
Screenshot_20231107_205337_Candy Crush Saga1,Ot,2,0,0,59,59,,0,2
Screenshot_20231107_205337_Candy Crush Saga1,Og,4,0,0,59,59,,0,4
Screenshot_20231107_205337_Candy Crush Saga1,Pt,3,0,0,59,59,,0,3
Screenshot_20231107_205337_Candy Crush Saga1,Bg,2,0,0,59,59,,0,2
Screenshot_20231107_205337_Candy Crush Saga1,GSG,1,0,0,59,59,,0,1
Screenshot_20231107_205337_Candy Crush Saga1,G,2,0,0,59,59,,0,2
Screenshot_20231107_205337_Candy Crush Saga1,Bt,4,0,0,59,59,,0,4
Screenshot_20231107_205337_Candy Crush Saga1,Pg,6,0,0,59,59,,0,6
Screenshot_20231107_205337_Candy Crush Saga1,Blt,2,0,0,59,59,,0,2

Screenshot_20231107_205648_Candy Crush Saga1,GlT,3,0,0,49,49,,0,3
Screenshot_20231107_205648_Candy Crush Saga1,Olg,1,0,0,49,49,,0,1
Screenshot_20231107_205648_Candy Crush Saga1,PlT,3,0,0,49,49,,0,3
